,review,vader_compound,vader_neg,vader_new,vader_pos,Vader_Sentiment,Company
40,"Shout out to Ramiro & Hugo! We have bought of 3rd car from them this past weekend. They made it easy and very comfortable. so happy and please with their attention and help!! . We Always say we are just going to see what they have, but we always end up walking out with a new purchase!!!We purchased our first car back in 2016 a 2014 Escape. 2017 we welcomed our first baby girl together and decided to get a bigger car. we went to check out what they had in stock and trade in the Escape for our now 2015 Dodge Durango haven't had any issues. they made it super easy!!! We decided to came back since we totaled our 2011 Toyota. we were just going to look around, but we found exactly what we were looking for!! We didn't have to think about it twice. mileage was perfect, year 2019,  test drove it, looked at the  numbers, and let me you they made it happen, for our monthly payment. exactly in our budget. couldn't of asked for anything more.",0.0,0.831,0.169,0.9855,Neutral,AutoDeals
41,"I was quite impressed with the professional service that I received from the good folks at AutoDeals. Not only was the sales price quite reasonable, but the car was in excellent shape inside and out. Jose, ""Harris ?"" and Joe were very straightforward in our interactions and secured excellent terms for my car loan as well as insurance for my car (better than State Farm - my current insurer). I would definitely work with them again.",0.0,0.73,0.27,0.975,Neutral,AutoDeals
42,"I was referred here by a coworker. I checked now because I forgot to check in this past Saturday. I wanted to have a check in here. I'm glad I came here too. I was greeted by Luis with a handshake and a smile. He gave me a pat on the back and said ""have a look at our inventory and I'll be with you shorlty"". That was a plus for me. I already knew what I had in mind. When it came down to get the numbers together Luis helped me with the process. Yes and the test drive went smoothly. When we were done I was introduced to Jose and Ramiro. At this point it was time to come with my down payment. They made it all work out for me. Their slogan is ""WE MAKE IT HAPPEN"" and that's exactly what they did. They put me in a car with reasonable monthly payments. My girl was happy too. Which was also a plus. I will refer a friend here too. Luis, Jose and Ramiro your got guys. Tell them Michael Chavez sent you. You won't be disappointed.",0.0,0.892,0.108,0.9569,Neutral,AutoDeals
43,"I just totalled my vehicle last week. We came to just look and left with two vehicles this week! Luis is knowledgeable and helped with what fits into our budget with our credit scores. Overall, Service was amazing and these guys were really on top of what our needs are. Now all the ladies at work are asking us where we bought our cars.",0.0,0.872,0.128,0.8303,Neutral,AutoDeals
44,They were courtesy and very fast and efficient staff even offered me options to pick out any I wanted not just trying to put me in a car they made it super easy I highly recommend this car dealership,0.0,0.672,0.328,0.9344,Neutral,AutoDeals
45,"Used car dealers get a bum rap.  Many times, they bring it on themselves.  They're known for pumping up a car that really doesn't deserve it.  When they get your phone number, they'll bug you every day, even if you make it clear that you never answer the phone and please send you an email or text.  Cal Worthington and his dog Spot poked fun at that stereotype by acting out the stereotype in the most ridiculous way;  like Rush Limbaugh said in the past, demonstrating absurdity by being absurd.Enter Autoland.  They're located on the most extensive auto row in the Bay Area, so competition is tough.  The absurd stereotype can be seen here.  But I had a situation that they made work, and went out of their way to make it work.I won't go into details, but financing wasn't a slam dunk, even with my prequalification letter.  I needed only an inexpensive way to get from Point A to Point B.  They had a car available that would do that.  Naturally, they tried to upsell me to one nearly four times more expensive.  The agent I worked with worked with Autoland's finance manager and the lender to get something to work within the restrictions that were available.  And they did it.Which brings up something.  A lot of people do not have the five figures of cash available to drive away in a great car.  Some loan will need to be involved.  If a dealer can do that loan, the dealer is more likely to sell more cars.  Cal Worthington found that he made more money on the financing than he did on selling new or used cars.  Autoland has financing available, and I found out first hand that they will try to make it work.I have had this car for over a week now.  I'm satisfied with it.  And I'm satisfied with Autoland.  We in the Bay Area have a lot of choices close by to buy cars, and Autoland could work as a choice for you.",0.024,0.892,0.084,0.9703,Neutral,AutoDeals
46,"These guys took such good care of me! They deserve to be located next to Honda and Toyota because they do not sell any cars that aren't quality. I bought a car for cash last night and I was in and out in 1.5 hours with everything handled for me with the DMV. Luiz was so helpful, the staff took care of me and this was truly a gem hidden away on Mission. (Did I mention they refused to let me take my car until it was inspected twice and had the windshield replaced)? They go by the book and take pride in selling quality cars! Will definitely return in the future.",0.018,0.807,0.175,0.9601,Neutral,AutoDeals
47,"This review is for Maria. My brother bought a car from them 2 years ago and today he had the most disrespectful and rude phone service from her. We had issues on what our warranty was and needed some clarification, hence why we called. She was very uninterested in answering his questions. She even refused to pull up his contract. She said she doesn't have time for him and his questions and to call her manager instead then hung up the phone. It seems this dealership only cares about selling cars and then toss you to the side once you become a client. I will be coming to the store to speak to the manager directly. Let's hope Maria keeps this same energy in front of her boss and me. Very poor service.",0.063,0.879,0.057,-0.216,Neutral,AutoDeals
48,"Worst place ever. Do not come here at all unless you want to get robbed of your money. Trust me, I got a car here and it's not the place to come to. Your better off going to an actual dealership where you won't get robbed if your money. DO NOT COME HERE GO SOMEWHERE ELSE. I came here originally for a trailblazer ss and I asked if I could test drive it and they said no, they said I can't test drive this one until I actually buy it, they said you can test drive any other one except this one. Also I've been waiting for my registration and sticker and have yet to get it, my registration expired in April and I got the suv end of April and it got towed because the registration wasn't up to date and now they won't even make an effort to get it to me. They said that they mailed it to me but I know they lied, I get emails on my phone everyday letting me know exactly what I'm getting in the mail and I have yet to see the registration and sticker. They lag to reply back and just simply don't care. Seriously people, do not come here, worst place ever.",0.065,0.882,0.053,-0.5609,Neutral,AutoDeals
49,"I been looking to get a car and I  tried  few other dealership , but this place really made it happen for me, my credit wasn't strong credit , they have great financing , hares  the sales manager was great and I recommend him to anyone coming at dealership to look for him and he knows what he is doing .and also Ramero the finance manager was patient with me and tried his best and got me the best interest rate , he saved me a lot of interest , thank you hares, ramero  and AutoDeals you guys really make it happen and I will definitely bring friends and families here .",0.024,0.592,0.383,0.9954,Neutral,AutoDeals
50,"Finally a place that could help me get my dream car!! Great experience super professional, the workers right here definitely treat you like fam. They really try to help you get what you want without being pushy or being any other typical arrogant car salesman. Definitely recommend this place, thanks Nash And Joseph for helping me get the car I always wanted, I'll definitely come back here again for the next one!!",0.033,0.552,0.415,0.9866,Neutral,AutoDeals
51,"I filled out the credit application online at the start of the day. They had all my information including what I was willing to put down. Going back and forth with Joe on the phone and eventually he calls me and says ""we have a way"" and told me to ""come on down"" I took BART from SF all the way to Hayward for them to have me sitting around for and hour and a half then tell me that they needed $3500 more than what they knew I was willing to put down. WHY MAKE ME COME ALL THE WAY TO HAYWARD TO TRY TO SELL ME A HONDA ACCORD OR TOYOTA CAMRY INSTEAD OF THE CAR YOU KNOW I WANT?! I COULD'VE BOUGHT AN ACCORD OR CAMRY EXACTLY WHERE I WAS AT. I CAME TO HAYWARD FOR A SPECIFIC VEHICLE.  AWESOME WASTE OF TIME. If you deal with these guys get ready to hear one thing on the phone then something completely different in person.",0.021,0.916,0.062,0.7712,Neutral,AutoDeals
52,"Great experience here. When they say they make it happen, they make it happen.We were looking to sell and trade-in our cars in one transaction, which would normally be a complicated process and numbers game. Joe wasn't phased though--he was very transparent and flexible with what kinds of deals we could make, so there was no drama.We ended up getting good money for our cars, and walked away with a beautiful car at a great price. I would recommend Joe to anyone looking for an honest and straightforward car-buying experience.",0.024,0.754,0.222,0.9661,Neutral,AutoDeals
53,"Me and my dad got a car here around January this year. It was pouring and I don't know why but me and my Dad just decided to take a look at the cars they have and eventually we found the right one for us. They were amazing, it was raining heavily but they still assisted us very well. The only thing I wasn't happy about is the waiting time. They made us wait for almost 5 hours because they were fixing the papers of the car and they took so long. Okay so fastforward, it was very late when we took the car home but we were really happy. The next day I noticed that the car has so many defects. The seats weren't clean, cheap and dusty lookin seats. The rear bumper was falling down, even the arm rest on the side door was broken. We came back for the bumper and they changed the clip and I just got pissed coz how would you sell a freaking car for 15,000$ with all these defects like tf. And 3 weeks after we got the car, we already needed to get the wheels aligned and get the break pads changed smh",0.162,0.776,0.062,-0.975,Neutral,AutoDeals
54,"I found these guys to be unreliable, untruthful, and a waste of time.  --Talked to them on the phone, I asked about a particular car, they said they had it.. when i drove an hour to get there... they told me it was sold a week before..?    Typical used car types..",0.06,0.94,0.0,-0.4215,Neutral,AutoDeals
55,"I am currently updating my review of autoland/autodeals. I initially posted my review 3 months ago of my experience with this dealership and it was not the best. joe H seen my review and wanted to do right by me. I contacted him and he told me to swing by the dealer and that he would make it right and so he did. Although the problem was very small, he made it right by me and for that I give him 5 stars. He is very professional and puts customer service above all things. Now with my new experience I would definitely come back for more business.",0.058,0.916,0.026,-0.5216,Neutral,AutoDeals
56,"I had the best experience today working with Jo (the owner) on purchasing our new 2015 Rav4 with only 23K miles! They never pressured us in making a decision and got us a great deal! Their moto is ""we make it happen"" and they sure do! When he asked us straight away what our plan/goal was, he worked hard to make sure we walked away happy with an awesome low monthly payment! His team of associates were really friendly and helpful while we were in the lot looking around. I highly recommend anyone to check this place out first before going anywhere else!",0.028,0.692,0.28,0.9852,Neutral,AutoDeals
57,I'm so glad that my car stopped in front of Auto Deals because this is where I found my new car that I am absolutely in love with!!! Luis and Hares were so nice and extremely helpful. They helped me to get financing and I was able to drive off of the lot with my new minivan!!! I have definitely been recommendating them to my friends family and Co workers!! Thank you so much!!! I would definitely buy from them again!,0.02,0.701,0.279,0.977,Neutral,AutoDeals
58,Hugo helped us with a used Mini Cooper. I was really excited to purchase this vehicle and he was very kind and attentive. There were a few issues with the car after purchase and the guys at Autoland made it right. I really appreciated the kind service. Thank you!,0.0,0.708,0.292,0.9474,Neutral,AutoDeals
59,"They shady is fuck my specially the owner JOE, my brother bought a truck and a week later the motor is gone and keep saying he is going to fix it but burning time so the warranty can expire he didnt give my brother a rental for the time and lying keep saying  heavy dealership going to fix it but there not and PRco insurance said that Joe is not responding to the claim so he dont have to come out of pocket So FUCK THAT DEALERSHIP AND BAD CUSTOMER SERVICE  they just about the money, you go have to call BBB, and The dept of dealerships",0.169,0.831,0.0,-0.9729,Neutral,AutoDeals
